Morion ID,ATC Code (1),ATC Code (2),ATC Code (3),ATC Code (4),ATC Code (5),Brand,INN,NFC (1),Description,strength_value,strength_unit,pack_size,form_category,market_level,market_name,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023
315837,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A07 Rosuvastatin,33901,ROSUVASTATINUM,Oral Solid Ordinary," tabs coated w/film 10 mg blister, #100",10.0,mg,100.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,73.64,227.11,6.66,0.0,0.0
309721,M MUSCULO-SCELETAL SYSTEM,M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A C Oxicams,M01A C06 Meloxicam,45359,MELOXICAMUM,Oral Solid Ordinary," tabs 15 mg blister, #10",15.0,mg,10.0,Oral solid,ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",9.97,0.0,0.0,0.0,0.0
93919,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J01 ANTIBACTERIALS FOR SYSTEMIC USE,J01D OTHER BETA-LACTAM ANTIBACTERIALS,J01D D Third-generation cephalosporins,J01D D04 Ceftriaxone,21539,CEFTRIAXONUM,Parenteral Ordinary," powder for prep. of inj. sol. 1000 mg flask, #5",1000.0,mg,5.0,Parenteral,No sampled peer,No sampled peer,1357.1200000000001,151.67000000000004,155149.52000000002,7145.439999999999,417.91999999999996
363812,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B E Anilides,N02B E01 Paracetamol,16969,PARACETAMOLUM,Parenteral Ordinary," sol. f/infus. 1000 mg/100 ml flask 100 ml, #1",1000.0,mg,1.0,Parenteral,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,86.78,26.3,0.0,0.0,0.0
233975,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J01 ANTIBACTERIALS FOR SYSTEMIC USE,J01D OTHER BETA-LACTAM ANTIBACTERIALS,J01D D Third-generation cephalosporins,J01D D04 Ceftriaxone,25612,CEFTRIAXONUM,Parenteral Ordinary," powd.f/pr. sol. f/inj. & inf. 1000 mg flask, #1",1000.0,mg,1.0,Parenteral,No sampled peer,No sampled peer,237.61999999999998,128.70000000000002,18.12,0.0,0.0
174158,C CARDIOVASCULAR SYSTEM,C07 BETA BLOCKING AGENTS,C07A BETA-BLOCKING AGENTS,"C07A B Beta blocking agents, selective",C07A B07 Bisoprolol,34942,BISOPROLOLUM,Oral Solid Ordinary," tabs coated w/film 10 mg, #30",10.0,mg,30.0,Oral solid,No sampled peer,No sampled peer,23.08,0.0,0.0,0.0,0.0
136708,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J02 ANTIMYCOTICS FOR SYSTEMIC USE,J02A ANTIMYCOTICS FOR SYSTEMIC USE,J02A C Triazole and tetrazole derivatives,J02A C01 Fluconazole,49884,FLUCONAZOLUM,Oral Solid Ordinary," caps. solid 200 mg blister, #3",200.0,mg,3.0,Oral solid,No sampled peer,No sampled peer,13.41,0.0,0.0,0.0,0.0
265861,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A05 Atorvastatin,49167,ATORVASTATINUM,Oral Solid Ordinary," tabs coated w/film 10 mg, #30",10.0,mg,30.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,28.740000000000002,70.03,0.0,0.0,0.0
117386,R RESPIRATORY SYSTEM,R05 COUGH AND COLD PREPARATIONS,"R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPRESSANTS",R05C B Mucolytics,R05C B01 Acetylcysteine,12816,ACETYLCYSTEINUM,Oral Liquid Ordinary," powder f/oral solution 100 mg sachet, #10",100.0,mg,10.0,Oral liquid,ATC4,R05C B Mucolytics,18.74,0.0,0.0,0.0,0.0
414421,R RESPIRATORY SYSTEM,R05 COUGH AND COLD PREPARATIONS,"R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPRESSANTS",R05C B Mucolytics,R05C B01 Acetylcysteine,46537,ACETYLCYSTEINUM,Oral Liquid Ordinary," powder f/oral solution 200 mg sachet 3 g, #20",200.0,mg,20.0,Oral liquid,ATC4,R05C B Mucolytics,4187.17,20742.78,15734.029999999997,10292.960000000001,11691.779999999999
