INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,share_change_12m,opportunity_probability,predicted_share_change_6m,action,supply_watch,reason
REGORAFENIBUM,True,8.96,28.624979646242934,0.0,39.921199905596815,2.194752192661042,0.0185902089737952,0.3192403925980634,0.0,Monitor,True,常规跟踪销量与生命周期信号
UNKNOWN_SKU_814750,False,8.89,3.4375462494043214,0.0,14.645514787981996,-0.6133243813943396,,,,Data Review,False,补齐INN后再形成分子级商业建议
TROSPII CHLORIDUM,True,8.86,0.0,0.0,11.170146372530729,-1.0,-4.725959290284225e-06,0.017919530574348,0.0,At Risk,False,同类份额与预测销量同时下降，核查原因
REMDESIVIRUM,True,8.83,97.71362144020593,42.39354299311645,108.8459456466897,10.066095293341553,-0.0019469271113671,0.0533821138034788,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_66474,False,8.75,0.0,0.0,11.031465097025269,-1.0,,,,Data Review,False,补齐INN后再形成分子级商业建议
ENZALUTAMIDUM,True,8.649999999999999,9.29699695099809,0.0,20.202388161200208,0.0747973353755018,1.6546763450635325e-05,0.0592248418007423,0.0,Market-led Growth,False,销量增长且同类份额变化不超过0.2个百分点
CABOZANTINIBUM,True,8.51,9.205714163100518,0.0,19.93460193175024,0.0817525456052312,0.0061272812982909,0.3302685952021083,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_814699,False,8.48,23.363149705328325,0.0,34.0542153079311,1.7550884086472078,,,,Data Review,True,补齐INN后再形成分子级商业建议
NANDROLONUM,True,8.42,0.0,0.0,10.615421270508886,-1.0,,,,Monitor,False,跨多个ATC3或不足3个同类INN，竞争份额不适用
PALIPERIDONUM,True,8.35,10.619647753031003,0.0,21.146817302763687,0.2718141021594018,-2.330583225568981e-06,0.0389219708610212,0.0,Market-led Growth,False,销量增长且同类份额变化不超过0.2个百分点
BECLOMETASONUM+FORMOTEROLUM,True,8.32,20.17049015534767,0.0,30.65983753903341,1.4243377590562103,8.051657888617623e-06,0.2320810225493948,0.0,Monitor,True,常规跟踪销量与生命周期信号
ATOSIBANUM,True,7.08,9.459294855883542,0.0,18.385326042962276,0.3360585954637771,-5.53765857863956e-06,0.055208282100691,0.0,Monitor,False,常规跟踪销量与生命周期信号
UNKNOWN_SKU_331737,False,6.92,1.4345995409651169,0.0,10.158912509126813,-0.792687927606197,,,,Data Review,False,补齐INN后再形成分子级商业建议
