INN,market_level,market,peer_share,opportunity_probability,predicted_share_change_6m
ALBUMINUM HUMANUM*,ATC4,B05A A Plasma substitutes and plasma protein fractions,0.5064589422441859,0.41622741791340084,0
ALCLOMETASONUM,ATC4,"D07A B Corticosteroids, moderately potent (group II)",0.0380929966232361,0.28137711283255556,0
ALECTINIBUM,ATC3,L01E PROTEIN KINASE INHIBITORS,0.008214740252227236,0.3087136973723983,0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+DOXYLAMINUM+GUAIFENESINUM,ATC4,N05C M Other hypnotics and sedatives,0.0705268560158261,0.23612557188350128,0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+DOXYLAMINUM+MENTHOL SOLITION IN ISOVALERAT,ATC3,N05C HYPNOTICS AND SEDATIVES,0.014167754749438512,0.12724133897621123,0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+HUMULUS LUPULUS*&+MENTHA PIPERITA+MENTHOL SOLITION IN ISOVALERAT,ATC4,N05C M Other hypnotics and sedatives,0.004299168581740754,0.04769003134839567,0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+HUMULUS LUPULUS*&+MENTHA PIPERITA+PHENOBARBITALUM,ATC4,"N05C B Barbiturates, combinations",0.04043358892848969,0.19186629906711933,0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+PHENOBARBITALUM,ATC4,"N05C B Barbiturates, combinations",0.6744304630142481,0.4471792454174683,0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHA PIPERITA+VALERIANA OFFICINALIS*&,ATC3,N05C HYPNOTICS AND SEDATIVES,0.0001344272045675822,0.031239622112546037,0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+MENTHOL SOLITION IN ISOVALERAT+PHENOBARBITALUM,ATC4,"N05C B Barbiturates, combinations",0.22561116314772162,0.22850512305014198,0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+PASSIFLORA INCARNATA*,ATC4,N05C M Other hypnotics and sedatives,0.004757946525122484,0.044958202645800235,0
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+PHENOBARBITALUM,ATC4,"N05C B Barbiturates, combinations",0.05952478490954041,0.2874186071809348,0
ALFACALCIDOLUM,ATC4,A11C C Vitamin D ans analogues,0.0,0.056681562797578015,0
ALFUZOSINUM,ATC4,G04C A Alpha-adrenoreceptor antagonists,0.002037090748644686,0.16966428537551878,0
ALLANTOINUM*+ALLIUM CEPA&+HEPARIN SODIUM,ATC4,D11A X Other dermatologicals,0.1420866891816376,0.512901514126943,0
ALLANTOINUM*+DEXPANTHENOLUM,ATC4,D03A X Other cicatrizants,1.6222126857745801e-06,0.04158447103909255,0
ALLANTOINUM*+GLUCOSAMINUM+IBUPROFENUM,ATC4,M09A X Other drugs for disorders of the musculo-skeletal system,0.022527468855494885,0.19116455888570386,0
ALLANTOINUM*+POVIDONUM,ATC4,R02A A Antiseptics,0.002591075439348458,0.0643546108310349,0
ALLIUM SATIVUM+CARBO ACTIVATUS MEDICINALIS*+CHOLE MEDICATA CONSERVATA*+URTICA DIOICA,ATC4,A05A X Other drugs for bile therapy,0.6477775917785707,0.30437444237267697,0
ALLOFERONUM*,ATC4,L03A X Other immunostimulants,0.0,0.033631334551757,0
ALLOPURINOLUM,ATC3,M04A ANTIGOUT PREPARATIONS,0.5099776378058277,0.4445081832623232,0
ALOE ARBORESCENS MILL.*&,ATC4,A16A X Various alimentary tract and metabolism products,0.048256218163353494,0.2876575951980838,0
ALOE ARBORESCENS MILL.*&+CALENDULA OFFICINALIS*&+EUCALYPTUS VIMINALIS*&+LEVOMENTHOLUM+MATRICARIA CHAMOMILLA*&,ATC4,M02A X Other topical products for joint and muscular pain,0.0,0.016267401708875393,0
ALPROSTADILUM,ATC3,C01E OTHER CARDIAC PREPARATIONS,0.0002992585612811817,0.04709107903601777,0
ALTEPLASUM,ATC4,B01A D Enzymes,0.0,0.11227466293759411,0
ALTHAEA OFFICINALIS*&,ATC4,R05C A Expectorants,0.20448960669609512,0.27981889162346574,0
ALTHAEA OFFICINALIS*&+AMMONIUM CHLORIDE+ANISUM VULG.*&+GLYCYRRHIZA GLABRA/URALENSIS*&+NATRII HYDROCARBONAS*,ATC4,R05C A Expectorants,0.01904829915955328,0.20445316413129447,0
ALTHAEA OFFICINALIS*&+ASCORBIC ACID,ATC4,R05C A Expectorants,0.13183333333843708,0.2592575531491198,0
ALTHAEA OFFICINALIS*&+GLYCYRRHIZA GLABRA/URALENSIS*&,ATC4,R05C A Expectorants,0.0004630637763198524,0.03291569123271159,0
ALTHAEA OFFICINALIS*&+ORIGANUM VULGARE*&+TUSSILAGO FARFARA*&,ATC4,R05C A Expectorants,0.011666471550077127,0.08884855249809677,0
ALUMINII HYDROXYDUM*+BENZOCAINUM+MAGNESII HYDROXIDE*,ATC3,A02A ANTACIDS,0.27468910210190417,0.23905237941738586,0
