SKU,ATC1,ATC2,ATC3,ATC4,ATC5,Brand,INN,NFC,Description,known_inn,INN_key,strength_value,strength_unit,strength_mg,pack_size,dosage_form,concentration_flag,multi_strength_flag,strength_parse_status
5192,N NERVOUS SYSTEM,N05 PSYCHOLEPTICS,N05C HYPNOTICS AND SEDATIVES,N05C M Other hypnotics and sedatives,N05C M09 Valerianae radix,43130,VALERIANA OFFICINALIS*&,Oral Solid Ordinary,"tabs, #50",True,VALERIANA OFFICINALIS*&,,,,50.0,Oral solid,False,False,not_comparable_or_missing
78968,A ALIMENTARY TRACT AND METABOLISM,A04 ANTIEMETICS AND ANTINAUSEANTS,A04A ANTIEMETICS AND ANTINAUSEANTS,A04A A Serotonin (5HT3) antagonists,A04A A01 Ondansetron,16392,ONDANSETRON,Parenteral Ordinary,"sol. for inj. 2 mg/ml amp. 4 ml, #5",True,ONDANSETRON,,,,5.0,Parenteral,True,False,not_comparable_or_missing
98162,C CARDIOVASCULAR SYSTEM,C09 AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09D ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",C09D A Angiotensin II receptor blockers (ARBs) and diuretics,C09D A01 Losartan and diuretics,47740,HYDROCHLOROTHIAZIDUM+LOSARTANUM,Oral Solid Ordinary,"tabs coated w/film 50 mg + 12,5 mg, #30",True,HYDROCHLOROTHIAZIDUM+LOSARTANUM,,,,30.0,Oral solid,False,True,not_comparable_or_missing
9848,M MUSCULO-SCELETAL SYSTEM,M02 TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A X Other topical products for joint and muscular pain,M02A X10 Various,36675,BENZOCAINUM+MENTHOLUM*+PROCAINUM,"Topical Dermatological, Haemorrhoidal, External",sol. alcohol f/ext.applic. flask 40 ml,True,BENZOCAINUM+MENTHOLUM*+PROCAINUM,,,,,Topical,False,False,not_comparable_or_missing
79556,N NERVOUS SYSTEM,N07 OTHER NERVOUS SYSTEM DRUGS,N07B DRUGS USED IN ADDICTIVE DISORDERS,N07B B Drugs used in alcohol dependence,N07B B10** Others,34496,DEXTROSUM*+GLYCINUM+SODIUM FORMATE*,Oral Liquid Ordinary,"gran. pack, kit (pack №1 + pack №2",True,DEXTROSUM*+GLYCINUM+SODIUM FORMATE*,,,,,Oral liquid,False,False,not_comparable_or_missing
39629,A ALIMENTARY TRACT AND METABOLISM,A11 VITAMINS,"A11B MULTIVITAMINS, PLAIN","A11B A Multivitamins, plain","A11B A Multivitamins, plain",31167,VITAMIN C+VITAMIN B5+VITAMIN D3+VITAMIN PP+PYRIDOXINUM+RETINOLUM+VITAMIN B2+THIAMINUM+TOCOPHEROL*+VITAMIN B9+VITAMIN B12,Oral Solid Ordinary,"tablets coated blister, #30",True,VITAMIN C+VITAMIN B5+VITAMIN D3+VITAMIN PP+PYRIDOXINUM+RETINOLUM+VITAMIN B2+THIAMINUM+TOCOPHEROL*+VITAMIN B9+VITAMIN B12,,,,30.0,Oral solid,False,False,not_comparable_or_missing
22691,G GENITO URINARY SYSTEM AND SEX HORMONES,G01 GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A C Quinoline derivatives,G01A C03 Chlorquinaldol,13998,CHLORQUINALDOLUM,Vaginal,"suppositories vaginal 0,015 g blister, in a pack, #5",True,CHLORQUINALDOLUM,,,,5.0,Other,False,False,not_comparable_or_missing
336229,N NERVOUS SYSTEM,N06 PSYCHOANALEPTICS,"N06B PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B X Other psychostimulants and nootropics,N06B X22 Phenibut,45124,PHENIBUTUM*,Oral Solid Ordinary,"tabs 250 mg blister, #20",True,PHENIBUTUM*,250.0,mg,250.0,20.0,Oral solid,False,False,single_mass
314671,M MUSCULO-SCELETAL SYSTEM,M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A E Propionic acid derivatives,M01A E17 Dexketoprofen,738,DEXKETOPROFENUM,Oral Solid Ordinary,"tabs coated w/film 25 mg blister, #10",True,DEXKETOPROFENUM,25.0,mg,25.0,10.0,Oral solid,False,False,single_mass
84719,A ALIMENTARY TRACT AND METABOLISM,A05 BILE AND LIVER THERAPY,A05A BILE THERAPY,A05A X Other drugs for bile therapy,"A05A X10** Other preparations, incl. combinations",29559,CORIANDRUM SATIVUM*&+HELICHRYSUM ARENARIUM*&+MENTHA PIPERITA+MENYANTHES TRIFOLIATA&,Oral Liquid Ordinary,"spec. filter pack 1,5 g, #20",True,CORIANDRUM SATIVUM*&+HELICHRYSUM ARENARIUM*&+MENTHA PIPERITA+MENYANTHES TRIFOLIATA&,,,,20.0,Oral liquid,False,False,not_comparable_or_missing
