SKU,forecast_2024,model
105525,0.0,Seasonal Naive
324030,4585.099999999999,Seasonal Naive
29442,0.0,Seasonal Naive
501642,2845.52,Seasonal Naive
188968,174.04,Seasonal Naive
282131,0.0,Seasonal Naive
93919,417.92,Seasonal Naive
137438,0.0,Seasonal Naive
220261,0.0,Seasonal Naive
238340,881.9000000000001,Seasonal Naive
108273,0.0,Seasonal Naive
220262,0.0,Seasonal Naive
47226,40491.3,Seasonal Naive
363812,0.0,Seasonal Naive
8211,0.0,Seasonal Naive
104961,0.0,Seasonal Naive
100015,1052.27,Seasonal Naive
390745,0.0,Seasonal Naive
31736,10.620000000000001,Seasonal Naive
231049,0.0,Seasonal Naive
29725,0.0,Seasonal Naive
233975,0.0,Seasonal Naive
129271,148.98,Seasonal Naive
530505,3047.2000000000003,Seasonal Naive
21318,0.0,Seasonal Naive
23108,0.0,Seasonal Naive
188080,0.0,Seasonal Naive
67420,2.64,Seasonal Naive
13235,0.0,Seasonal Naive
174158,0.0,Seasonal Naive
549288,761.01,Seasonal Naive
149112,0.0,Seasonal Naive
136708,0.0,Seasonal Naive
99988,0.0,Seasonal Naive
110964,0.0,Seasonal Naive
88624,0.0,Seasonal Naive
122837,0.0,Seasonal Naive
238359,10952.3,Seasonal Naive
407038,12.22,Seasonal Naive
90559,0.0,Seasonal Naive
265861,0.0,Seasonal Naive
486129,113972.11000000002,Seasonal Naive
414282,76.11,Seasonal Naive
223529,0.0,Seasonal Naive
171170,0.0,Seasonal Naive
238345,0.0,Seasonal Naive
429516,0.0,Seasonal Naive
18142,21.4,Seasonal Naive
9888,0.0,Seasonal Naive
298422,0.0,Seasonal Naive
126327,0.0,Seasonal Naive
85534,0.0,Seasonal Naive
75708,0.0,Seasonal Naive
200593,0.0,Seasonal Naive
142201,120.94999999999999,Seasonal Naive
26705,206.01999999999998,Seasonal Naive
180409,0.0,Seasonal Naive
364397,1549.2599999999998,Seasonal Naive
373828,57.04999999999999,Seasonal Naive
81356,103.84,Seasonal Naive
83884,0.0,Seasonal Naive
12436,0.0,Seasonal Naive
117386,0.0,Seasonal Naive
111451,13.36,Seasonal Naive
308706,0.0,Seasonal Naive
414421,11691.779999999999,Seasonal Naive
414257,0.0,Seasonal Naive
24317,0.0,Seasonal Naive
60033,434.32,Seasonal Naive
117313,0.0,Seasonal Naive
85514,0.0,Seasonal Naive
91274,0.0,Seasonal Naive
326709,0.0,Seasonal Naive
6511,187.89000000000001,Seasonal Naive
21185,0.0,Seasonal Naive
77881,0.0,Seasonal Naive
181040,0.0,Seasonal Naive
166003,0.0,Seasonal Naive
500969,3250.6299999999997,Seasonal Naive
413480,0.0,Seasonal Naive
55211,0.12,Seasonal Naive
137255,0.0,Seasonal Naive
343223,0.0,Seasonal Naive
376306,0.0,Seasonal Naive
7678,0.0,Seasonal Naive
3677,25.85,Seasonal Naive
193460,0.0,Seasonal Naive
549986,16620.0,Seasonal Naive
4236,0.0,Seasonal Naive
185315,0.0,Seasonal Naive
19188,0.0,Seasonal Naive
2000,0.0,Seasonal Naive
2462,28.84,Seasonal Naive
257452,697.37,Seasonal Naive
62986,0.0,Seasonal Naive
83954,32.73,Seasonal Naive
90811,0.0,Seasonal Naive
6288,0.0,Seasonal Naive
66246,956.51,Seasonal Naive
81562,0.0,Seasonal Naive
298952,0.0,Seasonal Naive
43792,0.0,Seasonal Naive
188308,0.0,Seasonal Naive
108606,0.0,Seasonal Naive
75711,0.0,Seasonal Naive
330840,0.0,Seasonal Naive
378511,2347.1900000000005,Seasonal Naive
181585,271.98,Seasonal Naive
36071,0.0,Seasonal Naive
378598,0.0,Seasonal Naive
132336,0.0,Seasonal Naive
90399,0.0,Seasonal Naive
78889,0.0,Seasonal Naive
12259,0.0,Seasonal Naive
182803,0.0,Seasonal Naive
326702,0.0,Seasonal Naive
