INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,selected_model
ACORUS CALAMUS*&+BISMUTHI SUBNITRAS*+FRANGULA ALNUS*&+MAGNESII CARBONAS+NATRII HYDROCARBONAS*,True,33025.909999999996,27347.897557429147,14357.702828194137,36385.69006888027,-0.17192599515261953,Damped ETS
ACORUS CALAMUS+ANETHUM GRAVEOLENS+GLYCYRRHIZA GLABRA/URALENSIS+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,True,8111.639999999999,4764.336673670638,1573.7574232138945,6984.148913441999,-0.41265432469011953,Damped ETS
ACORUS CALAMUS+FRANGULA ALNUS+MENTHA PIPERITA+URTICA DIOICA+VALERIANA,True,13825.039999999999,9620.481260030927,4182.630743891835,13403.80904668426,-0.3041263345327806,Damped ETS
ACORUS*&+ARNICA*&+BENZOCAINUM+QUERCUS*&+MENTHA*&+MATRICARIA*&+THYMUS*&+SALVIA*&,True,29053.71,27131.08669387892,15703.29104777189,35081.856337103665,-0.06617479509918289,Damped ETS
ACORUS+ALTHAEA+SAMBUCUS+INULA+URTICA+TILIA+MENTHA+CALENDULA+MATRICARIA+GLYCYRRHIZA+THYMUS+SALVIA*&,True,333245.93,241356.4040431452,110279.63663764388,332551.6979994832,-0.2757408798866795,Damped ETS
ACORUS+ALTHAEA+SAMBUCUS+URTICA+MENTHA+CALENDULA+ARTEMISIA+MATRICARIA+GLYCYRRHIZA+SOPHORA+ACHILLEA+HELICHRY+SALVIA+ROSA*&,True,135806.41999999998,113700.95819322701,60283.75208807272,150865.4222665254,-0.1627718469183782,Damped ETS
ACORUS+ARNICA+QUERCUS+MENTHA+MATRICARIA+THYMUS+SALVIA*&,True,104050.15,97615.90411871577,56689.500876349026,126090.02236361397,-0.0618379298951921,Damped ETS
ACORUS+URTICA+CALENDULA+MATRICARIA+SOPHORA+CHELIDONIUM+ROSA L.*&,True,65930.49,57064.59999971128,31131.93368729531,75106.98214143889,-0.13447329149667664,Damped ETS
ACRIVASTINUM,True,0.0,5.009010109683698,0.0,6.269748977915157,,Damped ETS
ADALIMUMAB,True,4868.87,4760.657621003628,0.0,10899.031274369732,-0.022225358039210663,Damped ETS
ADAPALENUM,True,39693.01,22687.2447982753,7074.65670336822,33549.54014562393,-0.42843224037997374,Damped ETS
ADAPALENUM+BENZOYLI PEROXIDUM*,True,86369.05000000002,110956.79364115496,76984.95825254536,134592.34382920875,0.28468234444115037,Damped ETS
ADAPALENUM+CLINDAMYCINUM,True,148091.54,173973.94511118368,115724.59051800832,214500.3261017836,0.17477301614382346,Damped ETS
ADEMETIONINUM,True,577930.6399999999,560220.9339520254,332901.48829280154,718376.0676131464,-0.03064330703763085,Damped ETS
ADENOSINI PHOSPHAS,True,2972.84,4092.509934142373,0.0,7840.484871175584,0.3766330963463802,Damped ETS
ADENOSINI PHOSPHAS+CYTOCHROMUM C*+NICOTINAMIDUM,True,583983.8200000001,506770.95294840593,343362.8177567683,606437.8875555635,-0.13221747659309147,Damped ETS
ADONIS VERNALIS*&+ARNICA MONTANA/FOLIOSA NUTT./CHAMISSONIS LESS.*&+JUNIPERUS COMMUNIS*&+MENTHA PIPERITA,True,13482.819999999998,9880.043413470326,4576.79946654428,13569.720083371121,-0.26721239225397,Damped ETS
AERVA LANNATA*&,True,56998.47000000001,43082.75749959967,20663.353323652358,58680.8241487903,-0.24414186030608076,Damped ETS
AESCINUM*,True,52109.48,42827.64898407857,22331.248054045842,57087.80617943252,-0.1781217355445004,Damped ETS
AESCINUM*+DIETHYLAMIN,True,12889.36,10356.185545883438,5286.369261178108,13883.45735415148,-0.19653221371088736,Damped ETS
AESCINUM*+HEPARIN SODIUM,True,76.34,2383.750958729299,1905.4797482365684,2479.9957639300883,30.225451384979024,Damped ETS
AESCULUS HIPPOCASTANUM L.*&,True,8605.189999999999,7087.906988478978,0.0,17936.804489995644,-0.17632184896800895,Damped ETS
AESCULUS HIPPOCASTANUM L.*&+DICLOFENACUM,True,4909.38,7491.6743215259985,0.0,13681.12050644416,0.525991942266844,Damped ETS
AESCULUS HIPPOCASTANUM L.+THIAMINUM,True,126734.33,103911.50569970539,54062.65594570525,138593.32305516282,-0.18008399381836482,Damped ETS
AETHACIZINUM*,True,116539.27000000002,111228.76150575357,65389.96975397758,143120.62282603153,-0.045568403631208954,Damped ETS
AETHONIUM*,True,226115.55,210996.00110896226,122057.19440210465,272874.24835521984,-0.06686647110752764,Damped ETS
AFATINIBUM,True,0.0,0.016345767973551084,0.0,1.2770846362050101,,Damped ETS
AFLIBERCEPT,True,1360.01,1529.8613627270972,0.0,3244.478830910564,0.12488978958029517,Damped ETS
AGNUS CASTUS*&,True,279127.02999999997,243163.53497525566,133373.5405771294,319548.77860601683,-0.1288427531534453,Damped ETS
AGOMELATINUM,True,43861.38,45175.25531285205,27923.107914249744,57178.256947202535,0.029955174982001287,Damped ETS
ALANINUM,True,92501.34000000001,85587.39495752905,49203.524859319004,110901.09314029507,-0.07474426902865372,Damped ETS
ALBENDAZOLUM,True,2812067.34,2624269.1857777503,1837407.1798017824,3104197.091463054,-0.06678295058974282,Damped ETS
ALBUMINUM HUMANUM*,True,66395.03,64767.85131157655,38652.465883789686,82937.3583722926,-0.02450753751332657,Damped ETS
ALCLOMETASONUM,True,11281.11,11866.145460532625,0.0,26088.679314327223,0.05185974257255044,Damped ETS
ALECTINIBUM,True,18.920000000000005,4.969977384192226,0.0,28.82315677113144,-0.7373162059095019,Damped ETS
