SKU,INN,ATC4,ATC5,allocated_direct_2024
485505,TRAVOPROSTUM,S01E E Prostaglandin analogues,S01E E04 Travoprost,34385.03415003581
109047,ACORUS CALAMUS*&,A15 APPETITE STIMULANTS,A15 APPETITE STIMULANTS,695.2470908675691
363627,ACIDUM SALICYLICUM*+BETAMETHASONUM,"D07X C Corticosteroids, potent, other combinations",D07X C01 Betamethasone,49809.17962075059
289675,PHENIBUTUM*,N06B X Other psychostimulants and nootropics,N06B X22 Phenibut,0.0
406366,METAMIZOLUM NATRICUM+PITOFENONUM+FENPIVERINII BROMIDUM,A03D A Synthetic anticholinergic agents in combination with analgesics,A03D A02 Pitofenone and analgesics,0.0
77814,PYRAZINAMIDUM,J04A K Other drugs for treatment of tuberculosis,J04A K01 Pyrazinamide,296.9120353981985
10228,MESALAZINUM,A07E C Aminosalicylic acid and similar agents,A07E C02 Mesalazine,7480.471609819758
161490,ORNITHINUM,A05B A Liver therapy,A05B A06 Ornithine oxoglurate,9220.692142566466
315406,ENOXAPARINUM NATRII,B01A B Heparin group,B01A B05 Enoxaparin,1471.6952104354975
227836,ECONAZOLUM,G01A F Imidazole derivatives,G01A F05 Econazole,9.72811630568802
590,UNKNOWN_SKU_590,M02A X Other topical products for joint and muscular pain,M02A X10 Various,3840.293125752156
85510,DIAZEPAMUM,N05B A Benzodiazepine derivatives,N05B A01 Diazepam,4888.899618498972
325945,BUDESONIDUM,R03B A Glucocorticoids,R03B A02 Budesonide,1461.1142229448637
22255,NITROXOLINUM,J01X X Other antibacterials,J01X X07 Nitroxoline,0.0
105775,DIENOGESTUM+ESTRADIOLI VALERAS,"G03F A Progestogens and estrogens, combinations",G03F A15 Dienogest and estrogen,0.0
150761,ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,A06A B Contact laxatives,"A06A B58 Sodium picosulfate, combinations",127.86481512732489
542739,VALERIANA OFFICINALIS*&,N05C M Other hypnotics and sedatives,N05C M09 Valerianae radix,5589.529441947781
283838,MELOXICAMUM,M01A C Oxicams,M01A C06 Meloxicam,198.08757081894407
88252,DECAMETOXINUM*,D08A J Quaternary ammonium compounds,D08A J10 Decamethoxine,6472.650017307771
421676,AMLODIPINUM+RAMIPRILUM,C09B B ACE inhibitors and calcium channel blockers,C09B B07 Ramipril and amlodipine,0.0
359495,URSODESOXYCHOLIC ACID,A05A A Bile acids and derivatives,A05A A02 Ursodeoxycholic acid,33621.15782849987
414457,SPIRITUS AETHYLICUS*,D08A X Other antiseptics and disinfectants,D08A X08 Etanol,708831.0524633504
29015,ZUCLOPENTHIXOL,N05A F Thioxanthene derivatives,N05A F05 Zuclopenthixol,8356.870367247579
307534,CEFTAZIDIMUM,J01D D Third-generation cephalosporins,J01D D02 Ceftazidime,679.0125726690044
105959,MANNITOLI HEXANITRAS+SORBITOL*,"V07A B Solvents and diluting agents, incl. irrigating solutions","V07A B Solvents and diluting agents, incl. irrigating solutions",5741.0492748884635
126312,DIOSMINUM+HESPERIDINUM,C05C A Bioflavonoids,"C05C A53 Diosmin, combinations",381.3492173150488
44857,AMLODIPINUM,C08C A Dihydropyridine derivatives,C08C A01 Amlodipine,2144.1283836745183
106232,SITAGLIPTINUM,A10B H Dipeptidyl peptidase 4 (DPP-4) inhibitors,A10B H01 Sitagliptin,5734.970042641074
66707,INTERFERONUM ALFA,L03A B Interferons,L03A B05 Interferon alfa-2b,3299.857681478822
39930,ESOMEPRAZOLUM,A02B C Proton pump inhibitors,A02B C05 Esomeprazole,0.0
76807,PROMESTRIENUM,"G03C A Natural and semisynthetic estrogens, plain",G03C A09 Promestriene,0.0
189009,MAGNESII OXYDUM*,A12C C Magnesium,A12C C30 Magnesium (different salts in combination),5505.956736955047
3362,BETAMETHASONUM,"D07A C Corticosteroids, potent (group III)",D07A C01 Betamethasone,3890.8931689629662
407125,NATAMYCINUM,G01A A Antibiotics,G01A A02 Natamycin,0.0
454185,CEFTRIAXONUM,J01D D Third-generation cephalosporins,J01D D04 Ceftriaxone,1.6856726365080736
24033,KETOTIFENUM,R06A X Other antihistamines for systemic use,R06A X17 Ketotifen,0.0
412295,SILDENAFILUM,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,0.0
427502,CHOLINI ALFOSCERAS,N07A X Other parasympathomimetics,N07A X02 Choline alfoscerate,11.25226322384842
172088,DIMETINDENUM+PHENYLEPHRINUM,"R01A B Sympathomimetics, combinations excl. corticosteroids",R01A B01 Phenylephrine,4300.379441253492
391341,AZITHROMYCINUM,J01F A Macrolides,J01F A10 Azithromycin,6897.473172144662
393208,BIOTINUM,A11H A Other plain vitamin preparations,A11H A05 Biotin,9562.563282234056
49957,BENFOTIAMINUM+PYRIDOXINUM,A11D B Vitamin B1 in combinations with vitamin B6 and/or vitamin B12,A11D B Vitamin B1 in combinations with vitamin B6 and/or vitamin B12,11900.305428327787
326911,BROMFENACUM,"S01B C Antiinflammatory agents, non-steroids",S01B C11 Bromfenac,79188.3820670277
326764,CYCLOBENZAPRINUM,M03B X Other centrally acting agents,M03B X08 Cyclobenzaprine,6392.216609223284
31449,UNKNOWN_SKU_31449,A11A A Multivitamins with minerals,A11A A04 Multivitamins and trace elements,134.60570748300464
404560,BENZYDAMINUM,A01A D Other agents for local oral treatment,A01A D02 Benzydamine,1777.5551781600625
68697,AMINOCAPRONIC ACID,B02A A Amino acids,B02A A01 Aminocaproic acid,0.0
41535,CEFAZOLINUM,J01D B First-generation cephalosporins,J01D B04 Cefazolin,0.0
96627,XYLOMETAZOLINUM,"R01A A Sympathomimetics, plain",R01A A07 Xylometazoline,0.0
22136,ASCORBIC ACID,"A11G A Ascorbic acid (Vit. C), plain",A11G A01 Ascorbic acid (vit. C),5183.595801793679
122839,LAMOTRIGINUM,N03A X Other antiepileptics,N03A X09 Lamotrigine,5818.184954159129
20675,CIPROFLOXACINUM,S03A A Antiinfectives,S03A A07 Ciprofloxacin,1602.0898047738835
59524,HYDROTALCITUM+MAGNESII HYDROXIDE*,"A02A D Combinations and complexes of aluminium, calcium and magnesium compounds",A02A D01 Ordinary salt combinations,0.0
