ATC4,INN,sales_2022,sales_2023,peer_share_2023,peer_share_2022
A05B A Liver therapy,UNKNOWN_SKU_66470,4060.63,8718.36,0.0016142148518679188,0.0007987142758201388
A05B A Liver therapy,UNKNOWN_SKU_66473,10250.65,9397.21,0.0017399047467782612,0.0020162734579204965
A05B A Liver therapy,UNKNOWN_SKU_91765,1294.48,1326.11,0.0002455308632828382,0.0002546205036567363
A05B A Liver therapy,UNKNOWN_SKU_91767,0.32,0.0,0.0,6.294308229571383e-08
A05B A Liver therapy,UNKNOWN_SKU_98804,5559.4299999999985,5557.579999999999,0.0010289926289398586,0.001093523937522688
A05B A Liver therapy,UNKNOWN_SKU_98805,0.14,0.0,0.0,2.75375985043748e-08
A05C DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,METHIONINUM+PHOSPHOLIPIDES*,0.0,0.0,nan,nan
"A06A A Softeners, emollients",DOCUSATUM NATRICUM,10068.099999999999,5463.8,0.015558273290788936,0.0285368976324077
"A06A A Softeners, emollients",OLEUM VASELINI (PARAFFINUM LIQUIDUM)*,342741.8,345719.13,0.9844417267092112,0.9714631023675921
A06A B Contact laxatives,ACIDUM CITRICUM+MAGNESII OXYDUM*+NATRII PICOSULFAS,93.19,0.0,0.0,1.619223749625091e-05
A06A B Contact laxatives,BISACODYLUM,909270.4299999999,910822.5799999998,0.14696071462183974,0.15799037183043446
A06A B Contact laxatives,CASSIA ACUTIFOLIA/ANGUSTIFOLIA*&,1235099.1700000002,1291190.4100000001,0.2083328515707925,0.21460477617837084
A06A B Contact laxatives,CASSIA ACUTIFOLIA/ANGUSTIFOLIA*&+NATRII PICOSULFAS,166527.59999999998,148755.4,0.024001600715539594,0.028935019303365946
A06A B Contact laxatives,FRANGULA ALNUS*&,90126.73,90018.2,0.014524386298121523,0.015659978720039505
A06A B Contact laxatives,NATRII PICOSULFAS,2773744.5,3058738.6,0.49352576491615485,0.4819522448537368
A06A B Contact laxatives,ONONIS ARVENSIS*&,240.72,594.4200000000001,9.590933503813003e-05,4.182632696745916e-05
A06A B Contact laxatives,RICINUS COMMUNIS*&,580124.51,697608.69,0.11255877254251367,0.10079959054958886
A06A C Bulk-forming laxatives,LAMINARIA*,28906.899999999998,29592.19,0.42065270403948807,0.45920887189462645
