SKU,missing_rate,negative_count,zero_rate,unknown_inn
71341,0.0,0,0.4666666666666667,False
169057,0.0,0,0.9166666666666666,True
299054,0.0,0,0.9666666666666667,False
342973,0.0,0,0.9666666666666667,False
98803,0.0,0,0.9833333333333333,False
86062,0.0,0,0.95,False
51839,0.0,0,0.9833333333333333,False
196182,0.0,0,0.3,False
287528,0.0,0,0.16666666666666666,False
126944,0.0,0,0.8333333333333334,False
95413,0.0,0,0.9333333333333333,False
175495,0.0,0,0.45,False
111856,0.0,0,0.5833333333333334,False
25510,0.0,0,0.9166666666666666,False
229378,0.0,0,0.8666666666666667,False
79590,0.0,0,0.95,False
85625,0.0,0,0.7333333333333333,False
84164,0.0,0,0.55,False
30428,0.0,0,0.4666666666666667,False
353040,0.0,0,0.7333333333333333,False
80145,0.0,0,0.9833333333333333,False
327233,0.0,0,0.8333333333333334,False
60010,0.0,0,0.8833333333333333,False
99731,0.0,0,0.8666666666666667,False
139652,0.0,0,0.05,False
164157,0.0,0,0.0,False
164767,0.0,0,0.8833333333333333,False
180407,0.0,0,0.9833333333333333,False
421640,0.0,0,0.8,False
392610,0.0,0,0.4,False
173997,0.0,0,0.9833333333333333,True
149311,0.0,0,0.03333333333333333,True
10536,0.0,0,0.08333333333333333,False
31041,0.0,0,0.5,True
169119,0.0,0,0.35,False
82895,0.0,0,0.0,False
20767,0.0,0,0.7166666666666667,False
237249,0.0,0,0.7666666666666667,False
188117,0.0,0,0.7166666666666667,False
273644,0.0,0,0.0,True
165004,0.0,0,0.016666666666666666,False
113083,0.0,0,0.21666666666666667,False
96857,0.0,0,0.85,False
100107,0.0,0,0.8166666666666667,False
108274,0.0,0,0.16666666666666666,False
60001,0.0,0,0.1,False
18409,0.0,0,0.6,False
97914,0.0,0,0.18333333333333332,True
96976,0.0,0,0.2,False
102781,0.0,0,0.16666666666666666,True
465857,0.0,0,0.5833333333333334,False
12938,0.0,0,0.9666666666666667,False
157093,0.0,0,0.7333333333333333,False
161428,0.0,0,0.85,False
97212,0.0,0,0.5833333333333334,False
98224,0.0,0,0.9333333333333333,False
317023,0.0,0,0.9,False
99470,0.0,0,0.8,False
389713,0.0,0,0.9666666666666667,False
137867,0.0,0,0.38333333333333336,False
120988,0.0,0,0.85,False
402695,0.0,0,0.5833333333333334,False
161772,0.0,0,0.9,False
373843,0.0,0,0.8,False
359504,0.0,0,0.4666666666666667,False
47803,0.0,0,0.9166666666666666,False
238295,0.0,0,0.03333333333333333,False
135591,0.0,0,0.9166666666666666,False
138311,0.0,0,0.016666666666666666,False
69574,0.0,0,0.6333333333333333,False
84251,0.0,0,0.016666666666666666,False
389576,0.0,0,0.26666666666666666,False
142203,0.0,0,0.0,True
122180,0.0,0,0.85,False
105594,0.0,0,0.0,False
308709,0.0,0,0.9,False
12471,0.0,0,0.8833333333333333,False
362144,0.0,0,0.23333333333333334,False
110836,0.0,0,0.9166666666666666,False
117830,0.0,0,0.5333333333333333,False
358578,0.0,0,0.43333333333333335,False
431126,0.0,0,0.06666666666666667,False
303615,0.0,0,0.9333333333333333,False
26888,0.0,0,0.9833333333333333,False
18799,0.0,0,0.9833333333333333,False
134015,0.0,0,0.23333333333333334,False
169117,0.0,0,0.38333333333333336,False
373826,0.0,0,0.65,False
219797,0.0,0,0.08333333333333333,False
316596,0.0,0,0.9166666666666666,False
77385,0.0,0,0.43333333333333335,False
188002,0.0,0,0.21666666666666667,False
118775,0.0,0,0.8833333333333333,False
155151,0.0,0,0.9166666666666666,False
410884,0.0,0,0.36666666666666664,False
91425,0.0,0,0.0,False
484871,0.0,0,0.0,False
360666,0.0,0,0.75,False
169132,0.0,0,0.8666666666666667,False
175493,0.0,0,0.48333333333333334,False
19911,0.0,0,0.03333333333333333,True
366326,0.0,0,0.9666666666666667,False
448034,0.0,0,0.0,True
50039,0.0,0,0.9333333333333333,False
238362,0.0,0,0.6,False
132332,0.0,0,0.8833333333333333,False
80091,0.0,0,0.7166666666666667,False
31463,0.0,0,0.3333333333333333,False
448939,0.0,0,0.31666666666666665,False
50138,0.0,0,0.35,False
77290,0.0,0,0.6333333333333333,False
245044,0.0,0,0.9666666666666667,False
134629,0.0,0,0.9,False
174110,0.0,0,0.9666666666666667,False
485161,0.0,0,0.13333333333333333,False
299776,0.0,0,0.8833333333333333,False
175339,0.0,0,0.05,False
353089,0.0,0,0.7,False
348831,0.0,0,0.5666666666666667,False
33976,0.0,0,0.9,False
159888,0.0,0,0.85,False
