INN,SKU_A,SKU_B,diff_log_correlation,same_form,strength_A,strength_B
HALOPERIDOLUM,169152,10541,-0.2365019299030336,True,,
HARPAGOPHYTUM PROCUMBENS*,174188,605017,-0.9689209278916934,True,480.0,480.0
HEXESTROLUM,31435,31436,-0.5000000000000001,True,,
HEXETIDINUM,108961,-108961,-0.43868473142588593,True,,
HUMULUS LUPULUS*&+VALERIANA OFFICINALIS*&,124467,111046,-0.20330108511009518,True,,
HYDROCHLOROTHIAZIDUM+OLMESARTANUM MEDOXOMILUM,525145,99740,-0.27533109764356434,True,,
HYDROCHLOROTHIAZIDUM+VALSARTANUM,325922,123582,-0.20473143090156498,True,,
HYDROCORTISONUM,118655,4920,-0.2671578374932722,True,,
HYDROCORTISONUM,31030,586774,-0.2668658618241922,False,,
HYDROTALCITUM+MAGNESII HYDROXIDE*,59524,501855,-0.3489125509521388,True,,
HYDROTALCITUM+MAGNESII HYDROXIDE*,59522,501855,-0.35572568102406094,True,,
HYDROXYCHLOROQUINUM,328728,12167,-0.9310876194920691,True,200.0,200.0
HYDROXYETHYLAMYLUM*,156571,76255,-0.28687904502007155,True,,
HYDROXYETHYLAMYLUM*+NATRII CHLORIDUM*,222110,174067,-0.24372713179213476,True,,
