INN,SKU,start,end,duration,peer_count,focal_before_mean,peer_before_mean,peer_during_mean,peer_uplift,peer_seasonal_baseline,peer_uplift_vs_prior_year,apparent_absorption_ratio,potential_availability_event
ACIDUM FUSIDICUM,75401,2022-04-01,2022-04-01,1,6,2.376666666666667,1119.8966666666668,723.0899999999999,-0.3543243573067755,1370.7700000000002,-0.47249356201259163,-166.95932678821885,True
ACIDUM FUSIDICUM,75401,2022-07-01,2023-04-01,10,6,5.586666666666667,857.0566666666667,455.7030000000001,-0.46829303391063204,1139.855,-0.6002096757920963,-71.84134844868734,True
ACIDUM FUSIDICUM,75402,2022-05-01,2022-05-01,1,6,0.7766666666666667,892.5933333333334,912.45,0.02224603962984265,1769.2800000000002,-0.4842817417254477,25.566523605150234,True
ACIDUM GADOPENTETICUM,105262,2019-04-01,2019-08-01,5,4,4.83,18.38,1.614,-0.9121871599564744,,,-3.471221532091097,True
ACIDUM GADOPENTETICUM,105262,2019-10-01,2020-05-01,8,4,0.3933333333333333,3.013333333333333,0.12,-0.9601769911504424,,,-7.3559322033898304,True
ACIDUM GADOPENTETICUM,105261,2019-04-01,2019-04-01,1,4,7.776666666666666,15.433333333333332,0.0,-1.0,,,-1.984569224174882,True
ACIDUM GADOPENTETICUM,105261,2019-06-01,2019-07-01,2,4,0.8133333333333334,2.0233333333333334,0.0,-1.0,,,-2.487704918032787,True
ACIDUM GADOPENTETICUM,105261,2019-10-01,2019-12-01,3,4,2.433333333333333,0.9733333333333335,0.0,-1.0,,,-0.4000000000000001,True
ACIDUM GADOPENTETICUM,105263,2019-04-01,2019-08-01,5,4,9.533333333333333,13.676666666666664,1.614,-0.8819887886912015,,,-1.265314685314685,True
ACIDUM GADOPENTETICUM,105263,2019-10-01,2020-05-01,8,4,0.58,2.8266666666666667,0.12,-0.9575471698113207,,,-4.666666666666667,True
ACIDUM GADOTERICUM,500825,2022-05-01,2022-06-01,2,5,4.473333333333334,382.70000000000005,273.68,-0.2848706558662138,440.46500000000003,-0.37865664695265233,-24.371087928464984,True
ACIDUM HOPANTENICUM,389686,2021-12-01,2022-03-01,4,4,50.85,19863.02666666667,11236.4625,-0.43430260208749666,18118.432500000003,-0.37983252690319663,-169.64727958046547,True
