INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m
ACIDUM VALPROICUM,ATC3,N03A ANTIEPILEPTICS,2234278.87,2227171.08,-0.003181245678611333,0.21681216991502944,0.20931110509929932,-0.007501064815730124,-0.006291333093121965,0.0007873536853717222
ACORUS CALAMUS*&,ATC4,A15 APPETITE STIMULANTS,378859.33999999997,426904.79000000004,0.12681606318587813,0.16857303821518563,0.1479295184296245,-0.020643519785561115,0.01619799870067165,-0.0021753083953323094
ACORUS CALAMUS*&+BISMUTHI SUBNITRAS*+FRANGULA ALNUS*&+MAGNESII CARBONAS+NATRII HYDROCARBONAS*,ATC4,A02B X Other drugs for treatment of peptic ulcer and gastro-oesophageal rephlux disease,1233921.49,1375765.2799999998,0.11495365884258968,0.0316076754607783,0.024005482970176423,-0.007602192490601876,-0.002540055938263782,-0.0035498313541567905
ACORUS CALAMUS+ANETHUM GRAVEOLENS+GLYCYRRHIZA GLABRA/URALENSIS+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,ATC4,A16A X Various alimentary tract and metabolism products,4174316.6599999997,4368090.35,0.04642045771391001,0.0024831657117263357,0.0018570220279440879,-0.0006261436837822478,0.000708280919286387,1.919315872741319e-05
ACORUS CALAMUS+FRANGULA ALNUS+MENTHA PIPERITA+URTICA DIOICA+VALERIANA,ATC4,A16A X Various alimentary tract and metabolism products,4174316.6599999997,4368090.35,0.04642045771391001,0.0034874354740495428,0.0031650077933942002,-0.00032242768065534255,0.000806014980196933,0.0002432138638525259
ACORUS*&+ARNICA*&+BENZOCAINUM+QUERCUS*&+MENTHA*&+MATRICARIA*&+THYMUS*&+SALVIA*&,ATC4,A01A D Other agents for local oral treatment,3605050.57,4093407.57,0.13546467393937278,0.006379211484958448,0.00709768316571516,0.0007184716807567123,-0.002474771982915629,-0.0003804103136733081
ACORUS+ALTHAEA+SAMBUCUS+INULA+URTICA+TILIA+MENTHA+CALENDULA+MATRICARIA+GLYCYRRHIZA+THYMUS+SALVIA*&,ATC4,R05C A Expectorants,9092569.22,8457153.12,-0.06988300937015046,0.043296501843952964,0.03940403174348581,-0.0038924701004671575,0.0007796699499976051,-0.0026710701948924054
ACORUS+ALTHAEA+SAMBUCUS+URTICA+MENTHA+CALENDULA+ARTEMISIA+MATRICARIA+GLYCYRRHIZA+SOPHORA+ACHILLEA+HELICHRY+SALVIA+ROSA*&,ATC4,A02X OTHER DRUGS FOR ACID RELATED DISORDERS,971251.6200000001,969208.62,-0.002103471394982237,0.1371729397990605,0.14012093701766704,0.0029479972186065295,0.007408346900861951,0.019701001217946768
ACORUS+ARNICA+QUERCUS+MENTHA+MATRICARIA+THYMUS+SALVIA*&,ATC4,A01A D Other agents for local oral treatment,3605050.57,4093407.57,0.13546467393937278,0.020163242814094564,0.025418956754408892,0.0052557139403143285,-0.01218832525210278,-0.0019235487235832911
ACORUS+URTICA+CALENDULA+MATRICARIA+SOPHORA+CHELIDONIUM+ROSA L.*&,ATC4,A01A D Other agents for local oral treatment,3605050.57,4093407.57,0.13546467393937278,0.015998044654336154,0.016106505123798364,0.00010846046946220989,-0.0065236857835424475,-0.0013943656533104316
