INN,sales_2019,sales_2022,sales_2023,known_inn,YoY,CAGR,portfolio_share_2023,sku_count,brand_count,strength_breadth,form_breadth,pack_breadth
UNKNOWN_SKU_439124,77.88,9.93,0.0,False,-1.0,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_439213,576.3299999999999,120.30999999999999,99.37,False,-0.17405036987781553,-0.3556141195108603,1.1707442712502106e-07,1,1,0,1,1
UNKNOWN_SKU_44049,411.91999999999996,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_443798,556.9100000000001,99.69000000000001,329.32,False,2.3034406660648004,-0.1230834377811264,3.879938647560827e-07,1,1,0,1,1
UNKNOWN_SKU_443910,652.06,145.96000000000004,23.25,False,-0.8407097835023294,-0.5654559082976698,2.739237627711321e-08,1,1,0,1,1
UNKNOWN_SKU_445158,493.9799999999999,164.76,225.23,False,0.36701869385773245,-0.17826985785703597,2.653584907051272e-07,1,1,0,1,1
UNKNOWN_SKU_446070,59870.759999999995,33082.310000000005,46492.46,False,0.4053571228853121,-0.061267316610526534,5.4775869177145584e-05,1,1,0,1,1
UNKNOWN_SKU_44708,242.84,0.0,0.0,False,,-1.0,0.0,1,1,1,1,1
UNKNOWN_SKU_44795,29783.15,11573.439999999999,19376.559999999998,False,0.6742265048248404,-0.10189624503655892,2.2828818171013363e-05,1,1,0,1,1
UNKNOWN_SKU_447995,13.43,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_447996,1078.5200000000002,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_448030,4122.030000000001,2540.87,3034.8,False,0.19439404613380473,-0.0736934568465143,3.5755003667003516e-06,1,1,0,1,1
UNKNOWN_SKU_448034,739.5999999999999,2478.42,5270.910000000001,False,1.1267218631224734,0.6338875915647164,6.210010754528981e-06,1,1,0,1,1
UNKNOWN_SKU_448035,2160.02,3403.11,7119.609999999999,False,1.0920892947921161,0.3474095091583511,8.388087572743999e-06,1,1,0,1,1
UNKNOWN_SKU_44819,3267.6,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_44915,61.980000000000004,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_44974,5.63,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_44979,6711.139999999999,5067.35,5493.58,False,0.08411299791804394,-0.04881544738421961,6.472353138426821e-06,1,1,0,1,1
UNKNOWN_SKU_44980,5808.67,2508.68,3048.1900000000005,False,0.21505732098155228,-0.14887894845341543,3.591276019102526e-06,1,1,0,1,1
UNKNOWN_SKU_449836,0.0,151308.51,222678.81,False,0.4716872831541332,,0.00026235276354665807,1,1,0,1,1
UNKNOWN_SKU_451343,499.63,133.67,149.28,False,0.11678013017131761,-0.2606700839365945,1.7587672819989075e-07,1,1,0,1,1
UNKNOWN_SKU_451350,183.64,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_452155,3622.82,9.0,0.0,False,-1.0,-1.0,0.0,1,1,0,1,0
UNKNOWN_SKU_452160,8393.429999999998,0.0,14.629999999999999,False,,-0.7956727860545624,1.7236579136953388e-08,1,1,0,1,0
UNKNOWN_SKU_460954,0.0,1092.96,1370.64,False,0.25406236275801497,,1.6148424352887077e-06,1,1,0,1,1
UNKNOWN_SKU_460985,0.0,152.51,284.92,False,0.868205363582716,,3.3568326231720847e-07,1,1,0,1,1
UNKNOWN_SKU_462672,3240.6000000000004,2354.2599999999998,2.9400000000000004,False,-0.9987511999524267,-0.8264476591756101,3.4638101614930256e-09,1,1,0,1,0
UNKNOWN_SKU_463413,169.58999999999997,55.31,79.42,False,0.43590670764780337,-0.17275831484041038,9.357000102917553e-08,1,1,0,1,1
UNKNOWN_SKU_463519,265.01,72.84,67.51,False,-0.07317408017572757,-0.28956154444825444,7.9538035374964e-08,1,1,0,1,1
UNKNOWN_SKU_46423,3698.1200000000003,59329.79,65466.03999999999,False,0.10342612033516363,1.0512035903809354,7.712990972269008e-05,1,1,0,1,1
UNKNOWN_SKU_46424,3217.3,60991.67999999999,75274.59,False,0.23417800591818438,1.1993239821235129,8.868601691980315e-05,1,1,0,1,1
UNKNOWN_SKU_465730,103786.85,89315.37999999999,43543.52,False,-0.5124745592528408,-0.19518641093523748,5.1301526205161484e-05,1,1,0,1,1
UNKNOWN_SKU_4658,148164.40999999997,124084.39000000001,40200.64,False,-0.6760217784041973,-0.27827413814998503,4.736305623487176e-05,1,1,0,1,1
UNKNOWN_SKU_46948,51881.99999999999,28313.02,29475.11,False,0.04104436757364627,-0.13182019113383803,3.472659371738935e-05,1,1,0,1,1
UNKNOWN_SKU_470410,248.67,49.45,72.64,False,0.468958543983822,-0.26482943502041945,8.558203065675284e-08,1,1,0,1,1
UNKNOWN_SKU_47233,133836.64,118126.96000000002,138916.43999999997,False,0.175992677708797,0.009356664822044891,0.0001636667266906245,1,1,0,1,1
UNKNOWN_SKU_4741,1387.24,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_4784,29.35,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_480610,59.300000000000004,0.0,0.0,False,,-1.0,0.0,1,1,0,1,0
UNKNOWN_SKU_48194,0.34,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_484741,0.0,0.43999999999999995,0.07,False,-0.8409090909090908,,8.24716705117387e-11,1,1,0,1,1
UNKNOWN_SKU_484745,0.0,0.23,0.09,False,-0.6086956521739131,,1.0603500494366403e-10,1,1,0,1,1
