ATC5,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
H01C B02 Octreotide,4019.452048339463,3732.6516459360805,3569.450049714959,3230.4330984396443,3235.5962631209773,3463.5391205676274,3623.7053322265306,3827.0798272552374,3631.6949489797867,3692.56137206101,3669.9636362275724,3948.9201732624056
H01C B03 Lanreotide,6.495012450481228,9.40057894077805,9.332195289447853,11.623051524816034,9.986499669542924,11.456021341756779,9.589201835960202,10.243709387755285,10.161278585623693,12.64169710035076,13.11479506856476,19.654436599568296
H01C C01 Ganirelix,0.0,14.831521509093676,115.35201011720453,0.0,18.67047020079744,422.29330816476045,0.0,120.15203132078031,130.57869615493948,111.29034105366442,211.69117000404202,91.50254619574169
H01C C02 Cetrorelix,8.427414605830393,10.63411008365777,4.354946432577074,5.690695478369923,7.298374681661607,8.049198010952358,9.070536641042366,11.621887511771774,10.55084817501271,15.881096672262856,7.354375436720385,8.55247841494381
H02A A02 Fludrocortisone,1096.595512938134,1161.76692856754,1068.4186306181607,1008.6017618057539,936.5040363029248,1043.432025447758,1182.298986310721,1071.6723245481876,1131.6927646852573,1247.9452863420097,1253.737873214508,1210.8801122596028
H02A B01 Betamethasone,31672.20809353123,31706.93915009977,35113.570991313485,29760.00276621738,31186.007311254478,32192.801917909328,32433.511058788434,36352.15539651126,31653.665137817723,30157.926801755373,30280.418240989824,31600.00822086361
H02A B02 Dexamethasone,92977.10448174032,90855.63912528628,103207.81129543937,84898.56069564087,79057.8596587604,79744.12063054493,80239.84185787893,99624.3732679271,92709.638918764,119894.32279316096,114223.6102764219,102803.92133844981
H02A B04 Methylprednisolone,45317.68249768914,44942.80978564968,48223.75160590418,41402.14985199387,31146.220038751693,24519.06057804403,26767.987799363967,28678.714366306023,33438.68760974573,61646.18819438359,73101.85665197994,57271.389807943095
H02A B06 Prednisolone,32144.837005064066,31120.967000507393,33455.72770476205,27112.273304834103,27806.540768570652,28207.439645791346,29973.42315359321,31518.649223048546,30191.77303374491,32548.366172299033,31390.232820920057,32857.416124353185
H02A B07 Prednisone,11873.59230297325,9938.091403454924,11269.4971010117,8556.001276228559,8786.89983357348,8002.568696620854,6434.332604230191,8065.650147489096,11337.891799267656,13791.55313786194,13400.529025908807,15657.206153517733
