INN,month,point_forecast,P10_empirical,P90_empirical
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-08-01,99.32779170243109,1.272126881580931,169.5986172156041
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-09-01,93.65618660630831,0.0,162.30498969870297
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-10-01,99.77541067056043,0.0,171.97505498578516
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-11-01,105.29609806311242,0.0,176.6873560377642
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-12-01,121.51995611830435,25.609796308244142,201.3085529396579
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2024-01-01,2.2058954122907406,1.085456728041437,2.6096787671115758
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2024-02-01,0.0,0.0,0.5201397881815064
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2024-03-01,0.0,0.0,0.6409027016945681
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2024-04-01,0.0,0.0,0.81391653595685
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2024-05-01,3.327698354606863,2.1528016305709987,4.057849059979152
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2024-06-01,1.0738596043932278,0.0,1.9298145650629093
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2024-07-01,2.6064744060275906,1.218418681256301,3.4653614296485364
ACHILLEA MILLEFOLIUM+CALENDULA+HYPERICUM PERFORATUM+MATRICARIA CHAMOMILLA+MENTHA PIPERITA,2024-08-01,4.639620081917553,3.4213859556801296,5.512658043318634
